,image,deeplift_s_image,gradients_s_image,integrated_gradients_s_image,guided_gradcam_s_image,guided_backprop_s_image,inputxgradient_s_image,lime_s_image
0,"tensor([[[[-1.3473, -1.2788, -1.2617,  ..., -0.8164, -0.8849, -0.8335],
          [-0.6452, -0.7479, -0.9534,  ..., -0.7479, -0.8164, -0.8164],
          [-0.4739, -0.3369, -0.2856,  ..., -0.7993, -0.7993, -0.8335],
          ...,
          [-1.7069, -1.7069, -1.7754,  ..., -0.6794, -0.7308, -0.8335],
          [-1.5699, -1.6384, -1.7583,  ..., -0.5938, -0.6794, -0.7650],
          [-1.6042, -1.6384, -1.6898,  ..., -0.4568, -0.4911, -0.5424]],

         [[-1.3354, -1.2829, -1.1954,  ..., -0.6877, -0.7577, -0.7052],
          [-0.5301, -0.6702, -0.8627,  ..., -0.6176, -0.7052, -0.7227],
          [-0.2150, -0.0924, -0.0224,  ..., -0.6702, -0.6702, -0.7052],
          ...,
          [-1.5280, -1.5455, -1.6331,  ..., -0.5476, -0.6001, -0.7052],
          [-1.4230, -1.5105, -1.6331,  ..., -0.4776, -0.5476, -0.6352],
          [-1.4930, -1.5105, -1.5455,  ..., -0.4076, -0.4251, -0.4601]],

         [[-1.1944, -1.2293, -1.1770,  ..., -0.5670, -0.6018, -0.5495],
          [-0.3055, -0.5147, -0.7238,  ..., -0.4450, -0.5495, -0.5495],
          [-0.0964,  0.0431,  0.1302,  ..., -0.5321, -0.5844, -0.6018],
          ...,
          [-1.4210, -1.4210, -1.5081,  ..., -0.3927, -0.4624, -0.5670],
          [-1.3164, -1.3861, -1.4907,  ..., -0.3753, -0.4101, -0.4973],
          [-1.3513, -1.3687, -1.4210,  ..., -0.3055, -0.3055, -0.3404]]]])",0.7726612613401621,0.8803400589876171,0.7325317250164216,0.4574179618308941,0.8169906898156593,0.7726478205050195,0.8607645191644367
1,"tensor([[[[2.2489, 2.2489, 2.2489,  ..., 2.2489, 2.2489, 2.2489],
          [2.2489, 2.2489, 2.2489,  ..., 2.2489, 2.2489, 2.2489],
          [2.2489, 2.2489, 2.2489,  ..., 2.2489, 2.2489, 2.2489],
          ...,
          [2.1975, 2.1975, 2.1975,  ..., 2.2489, 2.2489, 2.2489],
          [2.1975, 2.1975, 2.1975,  ..., 2.2489, 2.2489, 2.2489],
          [2.1975, 2.1975, 2.1975,  ..., 2.2489, 2.2489, 2.2489]],

         [[2.4286, 2.4286, 2.4286,  ..., 2.4286, 2.4286, 2.4286],
          [2.4286, 2.4286, 2.4286,  ..., 2.4286, 2.4286, 2.4286],
          [2.4286, 2.4286, 2.4286,  ..., 2.4286, 2.4286, 2.4286],
          ...,
          [2.3761, 2.3761, 2.3761,  ..., 2.4286, 2.4286, 2.4286],
          [2.3761, 2.3761, 2.3761,  ..., 2.4286, 2.4286, 2.4286],
          [2.3761, 2.3761, 2.3761,  ..., 2.4286, 2.4286, 2.4286]],

         [[2.6400, 2.6400, 2.6400,  ..., 2.6400, 2.6400, 2.6400],
          [2.6400, 2.6400, 2.6400,  ..., 2.6400, 2.6400, 2.6400],
          [2.6400, 2.6400, 2.6400,  ..., 2.6400, 2.6400, 2.6400],
          ...,
          [2.5877, 2.5877, 2.5877,  ..., 2.6400, 2.6400, 2.6400],
          [2.5877, 2.5877, 2.5877,  ..., 2.6400, 2.6400, 2.6400],
          [2.5877, 2.5877, 2.5877,  ..., 2.6400, 2.6400, 2.6400]]]])",0.8415397558924987,0.9058710129956078,0.8208195972812814,0.31714995205402374,0.8587597352605754,0.8415747685848098,0.8447412715146416
2,"tensor([[[[-2.0837, -2.0665, -2.0494,  ..., -1.6727, -1.7069, -1.7412],
          [-2.0837, -2.0665, -2.0494,  ..., -1.6727, -1.7069, -1.7754],
          [-2.0665, -2.0494, -2.0494,  ..., -1.6727, -1.7069, -1.7583],
          ...,
          [-1.6384, -1.6042, -1.6042,  ..., -1.6384, -1.6042, -1.6213],
          [-1.6555, -1.6898, -1.7069,  ..., -1.6384, -1.6384, -1.6727],
          [-1.6555, -1.7412, -1.7925,  ..., -1.6555, -1.6727, -1.6727]],

         [[-2.0007, -1.9832, -1.9657,  ..., -1.4930, -1.5280, -1.5630],
          [-2.0007, -1.9832, -1.9657,  ..., -1.5105, -1.5455, -1.6155],
          [-1.9832, -1.9657, -1.9657,  ..., -1.5630, -1.5980, -1.6506],
          ...,
          [-1.7031, -1.6856, -1.6681,  ..., -1.4055, -1.4055, -1.4055],
          [-1.7381, -1.7031, -1.6681,  ..., -1.4405, -1.4055, -1.4230],
          [-1.7381, -1.7206, -1.6856,  ..., -1.4580, -1.4230, -1.3880]],

         [[-1.7347, -1.7173, -1.6999,  ..., -1.2119, -1.2467, -1.2816],
          [-1.7347, -1.7173, -1.6999,  ..., -1.2293, -1.2641, -1.3339],
          [-1.7173, -1.6999, -1.6999,  ..., -1.2641, -1.2990, -1.3513],
          ...,
          [-1.5081, -1.4907, -1.5081,  ..., -1.2990, -1.2467, -1.2467],
          [-1.5256, -1.5256, -1.5430,  ..., -1.2467, -1.1944, -1.1944],
          [-1.5256, -1.5430, -1.5779,  ..., -1.1770, -1.1247, -1.0898]]]])",0.7906658382792222,0.8897460359761393,0.6772856293764917,0.31535516679286957,0.8300948366400247,0.7904728237588546,0.8889942424077737
3,"tensor([[[[2.1462, 2.1462, 2.1462,  ..., 2.1290, 2.1290, 2.1290],
          [2.1462, 2.1462, 2.1462,  ..., 2.1290, 2.1290, 2.1290],
          [2.1290, 2.1462, 2.1290,  ..., 2.1119, 2.1290, 2.1290],
          ...,
          [2.1633, 2.1633, 2.1804,  ..., 2.2318, 2.2318, 2.2318],
          [2.1804, 2.1804, 2.1633,  ..., 2.2147, 2.2318, 2.2147],
          [2.2147, 2.1633, 2.1633,  ..., 2.2318, 2.2318, 2.2147]],

         [[2.3410, 2.3060, 2.3060,  ..., 2.3235, 2.3060, 2.3060],
          [2.3060, 2.3060, 2.3060,  ..., 2.3235, 2.3235, 2.3235],
          [2.3060, 2.3060, 2.2885,  ..., 2.3060, 2.3060, 2.3235],
          ...,
          [2.3410, 2.3585, 2.3410,  ..., 2.4111, 2.4111, 2.4111],
          [2.3410, 2.3585, 2.3410,  ..., 2.4111, 2.4111, 2.3936],
          [2.3761, 2.3585, 2.3761,  ..., 2.4111, 2.4111, 2.4111]],

         [[2.4657, 2.4483, 2.4483,  ..., 2.4657, 2.4831, 2.4831],
          [2.4657, 2.4483, 2.4483,  ..., 2.4483, 2.4483, 2.4657],
          [2.4483, 2.4483, 2.4308,  ..., 2.4308, 2.4483, 2.4483],
          ...,
          [2.5180, 2.4831, 2.4831,  ..., 2.5877, 2.5877, 2.5877],
          [2.5180, 2.5006, 2.4657,  ..., 2.5703, 2.5877, 2.5703],
          [2.5529, 2.4831, 2.5006,  ..., 2.5877, 2.5703, 2.5703]]]])",0.8349390624605707,0.910643619914098,0.8257303733165519,0.3888234633364176,0.8600035543495324,0.8349552652859864,0.9337177445229731
4,"tensor([[[[-1.6042, -1.6042, -1.6042,  ..., -1.6213, -1.6384, -1.6555],
          [-1.6042, -1.6042, -1.6042,  ..., -1.5870, -1.6042, -1.6213],
          [-1.6042, -1.6042, -1.6042,  ..., -1.5528, -1.5699, -1.5870],
          ...,
          [-1.9980, -1.9980, -1.9809,  ..., -1.3473, -1.3473, -1.3302],
          [-1.9980, -1.9980, -1.9980,  ..., -1.3302, -1.3644, -1.3815],
          [-1.9980, -1.9980, -1.9980,  ..., -1.3473, -1.3815, -1.3815]],

         [[-2.0007, -2.0007, -2.0007,  ..., -1.9657, -1.9832, -2.0007],
          [-2.0007, -2.0007, -2.0007,  ..., -1.9657, -1.9657, -1.9832],
          [-2.0007, -2.0007, -2.0007,  ..., -1.9482, -1.9657, -1.9832],
          ...,
          [-2.0182, -2.0182, -2.0182,  ..., -1.9307, -1.8957, -1.8782],
          [-2.0182, -2.0182, -2.0182,  ..., -1.9132, -1.9132, -1.9307],
          [-2.0182, -2.0182, -2.0182,  ..., -1.9307, -1.9307, -1.9307]],

         [[-1.8044, -1.8044, -1.8044,  ..., -1.8044, -1.8044, -1.8044],
          [-1.8044, -1.8044, -1.8044,  ..., -1.8044, -1.8044, -1.8044],
          [-1.8044, -1.8044, -1.8044,  ..., -1.7870, -1.8044, -1.8044],
          ...,
          [-1.7870, -1.7870, -1.7696,  ..., -1.7870, -1.7696, -1.7522],
          [-1.7870, -1.7870, -1.7870,  ..., -1.7696, -1.7870, -1.8044],
          [-1.7870, -1.7870, -1.7870,  ..., -1.7870, -1.8044, -1.8044]]]])",0.7312045051275116,0.8810525520974279,0.6722649889809553,0.32619276250663554,0.8156278385952311,0.7312150378956607,0.8050712394086939
5,"tensor([[[[-1.3815, -1.3302, -1.3302,  ..., -0.3369, -0.3883, -0.4397],
          [-1.5699, -1.5699, -1.6042,  ..., -0.3883, -0.4739, -0.5082],
          [-1.6898, -1.6384, -1.6898,  ..., -0.4226, -0.4397, -0.4226],
          ...,
          [-1.9638, -2.0494, -2.1008,  ..., -1.6898, -1.7754, -1.8097],
          [-1.9809, -2.0837, -2.1179,  ..., -1.6898, -1.7240, -1.7412],
          [-1.9980, -2.0837, -2.1179,  ..., -1.6898, -1.6898, -1.7240]],

         [[-1.6506, -1.5980, -1.6331,  ..., -0.8277, -0.7927, -0.7927],
          [-1.8256, -1.8256, -1.8782,  ..., -0.8803, -0.8627, -0.8627],
          [-1.8957, -1.8606, -1.9482,  ..., -0.8803, -0.8277, -0.7577],
          ...,
          [-2.0357, -2.0182, -2.0007,  ..., -1.8606, -1.9132, -1.9482],
          [-2.0357, -2.0182, -2.0007,  ..., -1.9307, -1.9307, -1.9307],
          [-2.0357, -2.0182, -2.0182,  ..., -1.9657, -1.9832, -1.9832]],

         [[-1.6999, -1.5953, -1.4907,  ..., -0.7587, -0.7587, -0.7761],
          [-1.8044, -1.7522, -1.6999,  ..., -0.8284, -0.8458, -0.8807],
          [-1.7870, -1.7173, -1.7347,  ..., -0.8633, -0.8284, -0.8110],
          ...,
          [-1.7696, -1.7696, -1.7870,  ..., -1.5604, -1.6476, -1.7173],
          [-1.7696, -1.7870, -1.7870,  ..., -1.5953, -1.6476, -1.6999],
          [-1.7870, -1.7870, -1.8044,  ..., -1.6127, -1.6650, -1.7173]]]])",0.7961878584403741,0.8961370301457416,0.7375261573889695,0.3131662089573709,0.842178785928378,0.7961737609125281,0.8537821859905594
6,"tensor([[[[ 0.3481,  0.3309,  0.2796,  ..., -0.6623, -0.6794, -0.6281],
          [ 0.3994,  0.3823,  0.3309,  ..., -0.6281, -0.6623, -0.6281],
          [ 0.4337,  0.4166,  0.3823,  ..., -0.5767, -0.5767, -0.5767],
          ...,
          [-2.0152, -2.0152, -2.0152,  ..., -1.9638, -1.9638, -1.9467],
          [-2.0323, -2.0494, -2.0323,  ..., -1.9467, -1.9467, -1.9467],
          [-2.0152, -2.0494, -2.0494,  ..., -1.8953, -1.9124, -1.9295]],

         [[ 0.4153,  0.4328,  0.4153,  ..., -0.6702, -0.6877, -0.6527],
          [ 0.4678,  0.4678,  0.4678,  ..., -0.6001, -0.6176, -0.6001],
          [ 0.5378,  0.5203,  0.5028,  ..., -0.5651, -0.5651, -0.5476],
          ...,
          [-1.9482, -1.9307, -1.9307,  ..., -1.7906, -1.7906, -1.7906],
          [-1.9482, -1.9657, -1.9482,  ..., -1.7906, -1.7906, -1.7906],
          [-1.9307, -1.9657, -1.9657,  ..., -1.7556, -1.7731, -1.7556]],

         [[ 0.6879,  0.6705,  0.6008,  ..., -0.5321, -0.5670, -0.5844],
          [ 0.7228,  0.7054,  0.6531,  ..., -0.4798, -0.4973, -0.5321],
          [ 0.7402,  0.7402,  0.7054,  ..., -0.4450, -0.4450, -0.4450],
          ...,
          [-1.6824, -1.7347, -1.7173,  ..., -1.4907, -1.5081, -1.5081],
          [-1.6999, -1.7522, -1.7347,  ..., -1.4733, -1.4907, -1.5081],
          [-1.6999, -1.7347, -1.7347,  ..., -1.4384, -1.4559, -1.4733]]]])",0.7507793523469254,0.8923333305497899,0.7098939765186705,0.3184253628316679,0.827047232857072,0.7507648312633759,0.8960735092037603
7,"tensor([[[[ 1.6667,  1.6838,  1.5982,  ..., -0.0972,  0.0056, -0.0287],
          [ 1.6495,  1.6667,  1.6153,  ..., -0.0458,  0.0227, -0.0287],
          [ 1.5810,  1.5810,  1.5639,  ..., -0.0116,  0.0227, -0.0458],
          ...,
          [ 1.1358,  1.5468,  1.1187,  ...,  1.5468,  1.6495,  1.6838],
          [ 1.0502,  1.3070,  0.9303,  ...,  1.5468,  1.5982,  1.6495],
          [ 1.3413,  1.0673,  0.8276,  ...,  1.7523,  1.7180,  1.8550]],

         [[ 1.8859,  1.8333,  1.7983,  ..., -0.4776, -0.4776, -0.4601],
          [ 1.8508,  1.8158,  1.8158,  ..., -0.4426, -0.4776, -0.4776],
          [ 1.7458,  1.7108,  1.7633,  ..., -0.4776, -0.5126, -0.5126],
          ...,
          [ 0.9405,  1.4482,  1.3256,  ...,  1.6933,  1.7808,  1.7633],
          [ 0.8354,  1.3081,  1.0455,  ...,  1.6758,  1.7633,  1.8333],
          [ 1.4132,  1.2731,  0.7829,  ...,  1.9034,  1.7983,  1.9034]],

         [[ 2.2217,  2.2217,  2.1868,  ..., -0.6890, -0.6193, -0.6018],
          [ 2.1868,  2.1694,  2.1694,  ..., -0.6541, -0.6367, -0.6193],
          [ 2.0125,  1.9777,  1.9951,  ..., -0.6541, -0.6367, -0.6193],
          ...,
          [ 0.9668,  1.4025,  1.1062,  ...,  1.9428,  1.9777,  1.9428],
          [ 1.0017,  1.2980,  0.9145,  ...,  1.9254,  1.9603,  1.9777],
          [ 1.4548,  1.1585,  0.7925,  ...,  2.0474,  1.9603,  2.0300]]]])",0.8047903227086767,0.8908517044650293,0.7608864809812393,0.4379586148026743,0.8336424985869886,0.8047904982813634,0.7312228985522923
8,"tensor([[[[-0.0116, -0.0972, -0.4226,  ..., -1.9638, -1.9809, -2.0494],
          [ 0.0741, -0.2856, -0.4397,  ..., -1.9980, -1.9638, -1.9980],
          [-0.2171, -0.3883, -0.1657,  ..., -1.8268, -1.8097, -1.8439],
          ...,
          [ 0.4508,  0.4508,  0.4337,  ..., -0.5596, -0.7308, -0.8849],
          [ 0.4679,  0.4508,  0.4337,  ..., -0.4739, -0.5253, -0.5253],
          [ 0.4679,  0.4679,  0.4508,  ..., -0.5253, -0.5253, -0.4226]],

         [[-1.2829, -1.1253, -1.3354,  ..., -1.9832, -2.0007, -2.0357],
          [-1.1429, -1.3880, -1.5280,  ..., -2.0007, -1.9832, -1.9657],
          [-1.3880, -1.5805, -1.4755,  ..., -1.8431, -1.8431, -1.8431],
          ...,
          [-1.6155, -1.6155, -1.6155,  ..., -1.4230, -1.4230, -1.4755],
          [-1.6681, -1.6681, -1.6506,  ..., -1.7031, -1.6681, -1.6506],
          [-1.7031, -1.7031, -1.6856,  ..., -1.6506, -1.6856, -1.6506]],

         [[-0.7936, -0.7238, -1.0027,  ..., -1.5430, -1.5604, -1.5953],
          [-0.6715, -0.9853, -1.1247,  ..., -1.5604, -1.5081, -1.5081],
          [-0.9504, -1.1596, -1.0201,  ..., -1.3687, -1.3164, -1.3164],
          ...,
          [-1.2816, -1.2816, -1.2816,  ..., -0.8284, -0.8110, -0.8458],
          [-1.2816, -1.2816, -1.2816,  ..., -1.1596, -1.1073, -1.0550],
          [-1.2816, -1.2816, -1.2816,  ..., -1.3164, -1.3513, -1.2990]]]])",0.7985576861047823,0.8866916616251201,0.735073887012518,0.35416555071347633,0.8359372832836878,0.798639976444017,0.8222226931860572
9,"tensor([[[[2.0777, 2.0777, 2.1119,  ..., 2.1804, 2.1975, 2.1804],
          [2.0777, 2.1119, 2.0948,  ..., 2.1804, 2.1804, 2.1804],
          [2.0948, 2.1119, 2.1119,  ..., 2.1975, 2.1804, 2.1975],
          ...,
          [1.9235, 1.9407, 1.9749,  ..., 2.0948, 2.0948, 2.0948],
          [1.9578, 1.9578, 1.9578,  ..., 2.0605, 2.0777, 2.0948],
          [1.9920, 1.9749, 1.9407,  ..., 2.0605, 2.1119, 2.0777]],

         [[2.3585, 2.3235, 2.3410,  ..., 2.3410, 2.3410, 2.3410],
          [2.3585, 2.3761, 2.3410,  ..., 2.3585, 2.3585, 2.3585],
          [2.3585, 2.3585, 2.3585,  ..., 2.3761, 2.3585, 2.3761],
          ...,
          [2.2885, 2.2710, 2.2710,  ..., 2.2360, 2.2535, 2.2535],
          [2.2710, 2.2535, 2.2535,  ..., 2.2185, 2.2360, 2.2535],
          [2.2360, 2.2360, 2.2535,  ..., 2.2185, 2.2710, 2.2360]],

         [[2.5354, 2.5180, 2.5006,  ..., 2.5529, 2.5354, 2.5180],
          [2.5354, 2.5529, 2.5354,  ..., 2.5529, 2.5354, 2.5180],
          [2.5354, 2.5529, 2.5529,  ..., 2.5703, 2.5354, 2.5354],
          ...,
          [2.4657, 2.4308, 2.4134,  ..., 2.4308, 2.4308, 2.4308],
          [2.4657, 2.4308, 2.3960,  ..., 2.3960, 2.4134, 2.4134],
          [2.4483, 2.4134, 2.3960,  ..., 2.3786, 2.4308, 2.3786]]]])",0.7988353039530155,0.8688800614817362,0.7757788489985756,0.35550158745364135,0.8203665283018429,0.7988784752884194,0.8758216119910541
